Timestamp,En que ciudad te encuentras?,Que edad tienes,Cuál es el código postal desde donde sueles hacer tus pedidos de comida? (de tu domicilio o de tu trabajo),"Para tu comida de medio día, la mayoría de las veces...",Qué tan frecuente pides comida a domicilio?,"Cuando haces pedido de comida, qué tipo de comida sueles pedir?",Como te enteras del menú de la fondita o comida corrida cercana?,Cuál es el medio por el que haces tus pedidos?,Que es lo más difícil de hacer el pedido por este medio? ,Tus pedidos....,Avisan a que hora quieres recibir tu comida?,Normalmente como haces el pago de tu pedido?,"Te cobran extra, si es un pedido a domicilio?",Cuál es el límite de entrega (en cuadras a la redonda del negocio de comidas)?,Te gustaría conocer más locales de comida en tu colonia o delegación?,Quien lleva y entrega el pedido?,Han habido ocasiones en que no encuentran la dirección de entrega? Que es lo que haces en ese caso?,"Algún otro comentario, o limitación que tengas para poder conocer las alternativas de comida y hacer pedidos en tu colonia/delegación?"
2/18/2021 23:01:44,CDMX ,Entre 29 y 39 años de edad,4040,Preparas tu comida en casa,1 a 2 veces por semana,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Visitas el lugar y pides el menú del día,APP móvil,No me entienden,Pides que te lo envíen a tu domicilio,No,Tarjeta de debito / credito,No,10 cuadras,Sí,Existe una persona exclusiva que hace las entregas,"Llamar al local y preguntar por mi pedido, se comunican con el repartidor ",
2/18/2021 23:02:33,CDMX,mas de 50 años de edad,14030,Preparas tu comida en casa,1 a 2 veces al mes,"Comida corrida / Comida a medio día, Antojitos mexicanos (tacos, gorditas, quesadillas, etc)",Visitas el lugar y pides el menú del día,Teléfono,No me entienden,Los recoges en el lugar,Sí,Contra entrega en efectivo,No,3 cuadras,Sí,El dueño del lugar de comidas,No sucede,
2/18/2021 23:20:59,Monterrey,Entre 29 y 39 años de edad,66600,Preparas tu comida en casa,1 a 2 veces por semana,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Página web,APP móvil,No me entienden,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,Contra entrega en efectivo,Si,10 cuadras,Sí,DIDI Food,Me llaman ,
2/18/2021 23:55:35,Ciudad de México,Entre 40 y 50 años de edad,14130,Preparas tu comida en casa,1 a 2 veces por semana,"Desayunos, Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc), Postres / dulces",Página web,"Teléfono, WhatsApp, Visitan el local para hacer el pedido, APP móvil",No considero que sea difícil ,Pides que te lo envíen a tu domicilio,Sí,"Tarjeta de debito / credito, Transferencia bancaria, Tarjeta de vales restaurante ",Si,10 cuadras,Sí,"Existe una persona exclusiva que hace las entregas, UBER EATS, DIDI Food, Rappi",Me marcan y los guio,No todos los lugares aceptan tarjeta de vales restaurante 
2/19/2021 0:14:47,Ciudad de México,Entre 18 y 28 años de edad,02800,Preparas tu comida en casa,1 a 2 veces por semana,"Antojitos mexicanos (tacos, gorditas, quesadillas, etc), Comida rápida (hamburguesas, hotdogs, alitas, etc)",Facebook,"Teléfono, WhatsApp","Hay que escribir mucho, No me entienden",Pides que te lo envíen a tu domicilio,Sí,"Contra entrega en efectivo, Tarjeta de debito / credito",No,Dentro de la colonia ,Sí,"Uno de los meseros o meseras, Existe una persona exclusiva que hace las entregas, UBER EATS","Doy indicaciones de que es lo qué hay cerca o entre que calles me encuentro, color del predio, etc. ","Muchos locales no cuentan con algún medio (bicicleta, moto o auto) para entregar los pedidos o no llegan a otras colonias y realmente no me gusta usar uber eats o ese tipo de plataformas, me gusta que el dinero llegue directamente a los negocios. "
2/19/2021 0:21:47,CDMX ,Entre 40 y 50 años de edad,03300,Preparas tu comida en casa,1 a 2 veces al mes,"Comida rápida (hamburguesas, hotdogs, alitas, etc)",Visitas el lugar y pides el menú del día,APP móvil,Hay que escribir mucho,Pides que te lo envíen a tu domicilio,Sí,Tarjeta de debito / credito,Si,10 cuadras,Sí,UBER EATS,Sí encuentran la dirección ,El horario de los locales 
2/19/2021 0:28:05,CDMX ,Entre 40 y 50 años de edad,11430,Preparas tu comida en casa,1 a 2 veces al mes,"Comida corrida / Comida a medio día, Comida rápida (hamburguesas, hotdogs, alitas, etc)",WhatsApp,WhatsApp,Ninguno,Pides que te lo envíen a tu domicilio,Sí,Transferencia bancaria,No,10 cuadras,Sí,Existe una persona exclusiva que hace las entregas,Les doy referencias ,Ninguna
2/19/2021 0:40:01,Mérida,Entre 29 y 39 años de edad,97139,Preparas tu comida en casa,1 a 2 veces al mes,"Comida rápida (hamburguesas, hotdogs, alitas, etc), Cenas: pizza",Visitas el lugar y pides el menú del día,"Visitan el local para hacer el pedido, APP móvil",A veces lleva especificaciones que son muy difíciles de escribir o dar a entender.,Pides que te lo envíen a tu domicilio,Llegan despúes de haber hecho el pedido,"Contra entrega en efectivo, Transferencia bancaria",Si,10 cuadras,Sí,Rappi,Me marcan al celular,"A veces los menús o la información esta desactualizada. Creo que si hubiera una manera más sencilla para actualizarla, ayudaría a los establecimientos a brindar mejor y mayor acertada información."
2/19/2021 0:57:53,CDMX ,mas de 50 años de edad,09400,Preparas tu comida en casa,1 a 2 veces por semana,Normalmente pozole o cosas ke llevan 1 preparación larga o de ingredientes ke no tiene de diario en el refri pero mucho antojo,Página web,APP móvil,Ke no registran bien mi domicilio y pierdo mucho tiempo atendiendo al ke entrega,Pides que te lo envíen a tu domicilio,Sí,Contra entrega en efectivo,Si,Depende la aplicación ke ocupe si es del restaurante muy pocas cuadras pero si es de rappi o uber abarcan mucho mas,Sí,"UBER EATS, DIDI Food, Rappi",Al momento ke se ke el repartidor viene le mando mensaje con las espexificaciones,"Ke mejoren el precio calidad ya mis pedidos son muy limitados por esta razón por ej. Pido algo japones muy caro muy poca cantidad y la calidad no buena, por eso cocino mucho para ke las cosas sean como deben ser"
2/19/2021 1:00:04,CDMX ,Entre 40 y 50 años de edad,11430,Preparas tu comida en casa,1 a 2 veces al mes,"Comida corrida / Comida a medio día, Comida rápida (hamburguesas, hotdogs, alitas, etc)",WhatsApp,WhatsApp,Ninguno,Pides que te lo envíen a tu domicilio,Sí,Transferencia bancaria,No,10 cuadras,Sí,Existe una persona exclusiva que hace las entregas,Les doy referencias ,Ninguna
